AYear	Semester	Marker	CourseCode	ExamCategory	ExamDate	ExamSitting	Recorder	RecordDate	RegNo	ExamScore	Checked	Status	Count	Comment														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/089	62	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/090	59	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/091	53	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2009-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/092	53	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/093	57	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/094	61	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/095	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/096	53	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/097	58	1	1	0	.														
2009	Semester I I	1	HIV 204	8	2008-12-05	1	zalongwa	2010-01-17	KCN/BScN/08/100	58	1	1	0	.														
